OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu02617	VC1	0.0124996988473355	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	PNC2	0.00689667876251435	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	VC2	0.00685890690717905	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	PNC3	0.00546268993173223	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	VC3	0.00393661380738206	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	PNC1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu00379	VC2	0.365845620380527	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	VC3	0.0168443302571378	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	VC1	0.0166867029796084	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	PNC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	PNC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	PNC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00230	VC3	0.367828643611993	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	VC1	0.107903015938281	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	PNC3	0.0673206031682905	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	PNC2	0.044968514998737	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	PNC1	0.0383025354090601	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00230	VC2	0.00899893952567876	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu00921	VC2	0.129020924688011	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	VC3	0.0237162239746632	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	VC1	0.00288454588784665	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00207	VC3	0.655142592824053	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	VC1	0.141360309200119	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	PNC3	0.108934656101013	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	PNC1	0.0831017079944183	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	PNC2	0.0670337575546558	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	VC2	0.00242446733361677	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00567	PNC3	0.178462012429872	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	PNC1	0.050155366625266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	VC1	0.0106852002977233	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	VC2	0.00900054452870175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	PNC2	0.00434340989283479	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	VC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu01342	VC3	0.0786168044814148	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu01342	VC1	0.0457447989002384	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu01342	PNC2	0.00229889292083812	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu01342	VC2	0.00121223366680838	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu01342	PNC1	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
