ID	Sample	Alphaproteobacteria	Deltaproteobacteria	Acidimicrobiia	Gammaproteobacteria	Cytophagia	Gemmatimonadetes	Anaerolineae	Caldilineae	Actinobacteria	Bacilli	Clostridia	Nitrospira	Nitriliruptoria	Ardenticatenia	Thermomicrobia	S085	Planctomycetacia	Sphingobacteriia	Acidobacteria	Flavobacteriia	TK10	Ignavibacteria	Others
1	VC	0.116104092259986	0.0679261286006403	0.109428745656518	0.0639327361075314	0.0631271133411711	0.0544158501711011	0.0308874547184574	0.0295742315638516	0.0235127283143658	0.00789535101139581	0.0174601825089317	0.0420045732146993	0.024439122843153	0.037886100450003	0.00919723907319212	0.0315690774344748	0.0114642278379415	0.00345829888359375	0.00547501533679912	0.0110296859261962	0.0112391014962905	0.00164050277713528	0.226332440472571
4	VC	0.1408408481417	0.101208010865549	0.10088997435743	0.113074047623281	0.0505054702976646	0.0367277437314984	0.0259867757468061	0.0167718213664514	0.0435204364700785	0.0106977035356261	0.0172997979229199	0.0391575703510984	0.0335470222576645	0.0200493775810423	0.0193520825337033	0.0314039178424315	0.0146504090090039	0.00328933902070233	0.00414046269369353	0.00563473724352439	0.00388715667352479	0.000876000483142148	0.166489294251464
8	VC	0.122223320908453	0.0653430374252106	0.0665817671529272	0.0422186384607956	0.047935208820743	0.033557591453575	0.0576964540858309	0.0730036503028475	0.0552776197372731	0.0291102630436015	0.0400767412001467	0.0205940355436324	0.0362132202637616	0.0312459181635762	0.022388483799473	0.0195963201504507	0.0129472795390614	0.00116035206813308	0.00558606588533867	0.00707607675155181	0.0159019351917791	0.00138127784076075	0.192884742211078
10	VC	0.155612132498483	0.143019809116448	0.0137544458516836	0.1240481596692	0.0375914916563439	0.0620359070145623	0.0601194510897289	0.0205920931355886	0.0254794626826047	0.00688383379266586	0.00694704390779353	0.0640145697970911	0.00303914723206946	0.02038220666614	0.0521797466883873	0.00559286745409594	0.00919049152083263	0.00200119470521228	0.0235735012728213	0.00213606270464244	0.0372159348768918	0.0194121284969394	0.105178318169773
13	VC	0.113930669887353	0.173759805381824	0.00672111430102676	0.12744348703694	0.100790965240426	0.0412361239557202	0.0887153999054081	0.00742672595578396	0.00700144457088204	0.00986489352470113	0.0166427060742732	0.0372563517456215	0.00569325999459183	0.0248327466426447	0.0105257850951431	0.00103598884216176	0.00189432083743996	0.00109298857031184	0.0490596450759197	0.00132652871532434	0.000991865777428386	0.0278466403432285	0.144910542525846
16	VC	0.116547047037298	0.152359429685842	0.0528241446572021	0.0592345722992507	0.0239540748975198	0.0354990267555456	0.10444340855536	0.03210786707746	0.0608041938314893	0.00892949364283054	0.0145248585928778	0.0634683675296568	0.00844010756952504	0.0232367610841874	0.0313231558478671	0.0121337362001381	0.00838099241883218	0.00129416761702401	0.0168547397402069	0.00136668026003319	0.0287355767832366	0.00841974428184389	0.135117853634773
17	VC	0.0987902162716706	0.0754842323445462	0.0836125322616563	0.0343655772889996	0.0594755902461959	0.0585423143860723	0.0527235944157922	0.0739912279072095	0.0627559584464696	0.0293665485532662	0.035234887569473	0.0189415297837855	0.0600324937251421	0.019435242639392	0.0364980540294146	0.0167894182680598	0.0141244280495793	0.00114305506811398	0.00538971319348314	0.00386216606299273	0.00802736140776703	0.00069951713259739	0.150714340948321
18	VC	0.0760464149619057	0.0835611945576917	0.0380773849514031	0.0648549101671005	0.163417078986675	0.059206372388578	0.0599633893643614	0.0762515269153988	0.0191987144415551	0.0230992898429377	0.0251658022306275	0.0139268308662381	0.0301547161279496	0.0408583610806692	0.0276633429053063	0.0101766057974042	0.0111672665510065	0.00123934348396667	0.0108852091524518	0.0121927619522266	0.00659160417377612	0.00798042989889619	0.138321449201875
19	VC	0.0734086317095241	0.115628376920231	0.0222293209579653	0.0640139657441032	0.148542358216004	0.0572997880746658	0.0671785179691191	0.0895477717134901	0.0247337288990757	0.0270533691460939	0.0203078982574185	0.0150903576562643	0.023604770773307	0.05181159446073	0.0345988951151698	0.00286469784572348	0.00898341571027181	0.000453097857334883	0.00774006459627845	0.0025328928788513	0.00438546083230992	0.00510255782525067	0.132888466840818
20	PC	0.169214974582441	0.124336884882828	0.0750714693641984	0.150189966667466	0.0943155231730922	0.041420630613873	0.0250132690041035	0.0288041826544179	0.0091009033049488	0.0101022815396974	0.0254653913145627	0.0024640767765511	0.00921809845417877	0.00756854209815569	0.00885644238841824	0.00707155900925412	0.0110469204858771	0.0321325817129699	0.0064716378287497	0.0161058775094023	0.0108184278413818	0.00123467485153938	0.133975683941894
