ID	Sample	Proteobacteria	Actinobacteria	Chloroflexi	Bacteroidetes	Firmicutes	Gemmatimonadetes	Planctomycetes	Nitrospirae	Acidobacteria	Chlorobi	Latescibacteria	Parcubacteria	Cyanobacteria	Saccharibacteria	Deferribacteres	Deinococcus-Thermus	Tenericutes	Others
1	VC	0.253285062178407	0.179883302790847	0.177355586893358	0.0803694018415002	0.0261985068840494	0.0544158501711011	0.0211771615573953	0.0420045732146993	0.009526864914397	0.00212181015040994	0.00254102495124837	0.00142524025814683	0.0113031172811144	0.000236188585219691	0.000200767269163284	0.00016149537861844	0.000675374578784795	0.13711867110154
4	VC	0.368590934050765	0.2229504753986	0.137429297473631	0.0686637770090529	0.0284019302034037	0.0367277437314984	0.0235486409250605	0.0391575703510984	0.0069013478255824	0.00115125106874023	0.000459552664123461	0.00240738648942648	0.00376049179401306	0.000444581799617336	0.000477255784677857	0.000159852221171545	0.00016086461043119	0.0586070465991058
8	VC	0.238735559130421	0.172761935189503	0.259168351076217	0.0571434575522242	0.0715502256157287	0.033557591453575	0.0221492696892245	0.0205940355436324	0.0117512893353376	0.00169290079177297	0.00159754136168743	0.000547370769598493	0.00466217155841221	0.000416561735507368	7.18857726033285e-05	0.000405728462094498	0.00204993124813113	0.101144193714329
10	VC	0.432880445666383	0.0501019184080686	0.225105338576677	0.0455848532078347	0.0204089226116945	0.0620359070145623	0.0192896585541001	0.0640145697970911	0.0240659339079959	0.0199932236743555	0.00384250466798349	0.00152448282431172	0.0022834803594871	0.000206059116618801	0.00267329453283644	0.00058122934563656	0.000161386681322426	0.0252467910530406
13	VC	0.433039338956151	0.0237168459032782	0.161963772007569	0.116068471396722	0.0302284102339808	0.0412361239557202	0.0107117887033845	0.0372563517456215	0.0507678121044176	0.0278484824842754	0.00329346372229508	0.00236099164624029	0.00889604403221179	0.000100745373767478	0.0002307762469429	0.0189853711068212	0.000888244627932904	0.0324069657526682
16	VC	0.342950831360667	0.154158088187195	0.264244364990869	0.0309457851895605	0.027215869821356	0.0354990267555456	0.0176097425454245	0.0634683675296568	0.0180969398864661	0.00842158320046039	0.0110648698479698	0.00081949136125225	0.00466021096252421	0.000297945333166467	0.000811453897417382	0.000774473141899744	0.000548248811913119	0.0184127071766562
17	VC	0.212345009511897	0.218448277398088	0.230893846887548	0.064885693971541	0.066906273738235	0.0585423143860723	0.0235467630499402	0.0189415297837855	0.011077234077336	0.00072672524624671	0.00257586087526383	0.000176983735257445	0.00157049690255653	0.00027157297156365	0.000270999584892848	6.52741913522099e-05	0.00384395599517589	0.0849111876932477
18	VC	0.23426967254947	0.093905310891777	0.251345425474281	0.180254238360328	0.0510382289641544	0.059206372388578	0.0245529639112307	0.0139268308662381	0.0181769480951985	0.00801311615383759	0.00625422998493377	0.000899122052815916	0.00223759065662987	1.45999262532486e-05	7.54420058958228e-05	0.000851769281366641	0.00119900837692939	0.0537791300600815
19	VC	0.266020473987909	0.076907750191189	0.276866807867516	0.153684218378226	0.0507482480384145	0.0572997880746658	0.0214705082306052	0.0150903576562643	0.0208180460581972	0.00510453667820903	0.00511372937713387	0.00292310637915995	0.00171086399785045	0.000251698168088572	4.5225337786679e-05	0.000651508116940792	0.000514425195220876	0.0447787082666222
20	PC	0.461617891995408	0.105611429392472	0.1007288453522	0.155361076477956	0.0373839080761895	0.041420630613873	0.0210709776472736	0.0024640767765511	0.0108806746314891	0.00147889597646169	0.00204166131743761	0.0070634568176377	0.00108141120462149	0.00209045648314781	0.00670745830234527	0.00208455956978591	0.00194607233639577	0.038966517028754
21	PC	0.434011338808969	0.145725933858556	0.0959342657607961	0.146197497083765	0.0390045527102817	0.0400719937485975	0.0227975327236433	0.00455593557291321	0.0117896882798547	0.00352329145691753	0.00300826244821509	0.00693813314877288	0.00180106005802063	0.00329680449497833	0.00387495437373918	0.00105312736840425	0.00224407838630401	0.0341715497172717
22	PC	0.444985682770164	0.109390281250007	0.0998492996755601	0.146587186998174	0.0324774538273577	0.0636322577578951	0.0245725107469723	0.00292513832838835	0.011998816733782	0.00303443160628709	0.0031582081702235	0.00518801925635856	0.000580789282574075	0.00259445743902911	0.00533510047010197	0.00173897174247584	0.0021285610324416	0.0398228329122078
23	PC	0.355673761722043	0.317773931155933	0.063577947428665	0.106669095810267	0.0609548450018843	0.0189639190673148	0.0354772717692367	0.00291232593642896	0.0119586099461279	0.00188249120957461	0.0025996431333071	0.00207074169265941	0.000577457289267877	0.00156393083281379	0.000629449009644016	0.000544848609154142	0.000750339066579667	0.0154193913190988
24	PC	0.34699349971056	0.306309596673871	0.0666255214276763	0.0516933825464403	0.127197751726561	0.0193050609428892	0.0413787397307349	0.00124426398471666	0.0106043231996268	0.00197409202509347	0.00251348861818154	0.00299144386403884	0.000805335708794512	0.00102078116841857	0.000432054475359335	4.77881466452637e-05	0.00150856036295142	0.0173543156874407
25	PC	0.475657540692847	0.242093037257048	0.0585006107597781	0.0433584196376571	0.0514170087139709	0.0246234615338805	0.0337328938271887	0.00998594389723199	0.016598158887703	0.00129599479217671	0.00292168124689327	0.00268527122768197	0.000978549626839245	0.0092972600806962	0.00260741583744138	1.60792523097325e-05	0.000336130403117493	0.0238945423255382
26	PC	0.444527262840391	0.168055314191233	0.091458614709156	0.0944926895380101	0.0470046270527393	0.0349094753040845	0.0323567894502046	0.0106910417450346	0.0153994973478632	0.000690446529762165	0.00475221138611627	0.00549955564308065	0.000609040697125865	0.0022201869722364	0.00395278112802418	0.000243050775460599	0.000907372786472928	0.0422300419030051
