ID	Sample	Acidimicrobiales	Rhodospirillales	Rhizobiales	Desulfobacterales	Anaerolineales	Caldilineales	Order_III	Gammaproteobacteria_unclassified	BD2-11_terrestrial_group	Desulfuromonadales	Bacillales	Clostridiales	Nitrospirales	Order_II	Ardenticatenia_unclassified	S085_unclassified	Myxococcales	Planctomycetales	Alphaproteobacteria_unclassified	Sphingobacteriales	Sva0071	Rhodobacterales	Thermomicrobia_unclassified	Euzebyales	Actinobacteria_unclassified	Chromatiales	Oceanospirillales	Flavobacteriales	TK10_unclassified	Gemmatimonadetes_unclassified	Micrococcales	Ignavibacteriales	Propionibacteriales	Others
1	VC	0.109428745656518	0.0493680510474386	0.0232019932751898	0.0251145472579913	0.0308874547184574	0.0295742315638516	0.019494075094504	0.0129126749533913	0.038850417018676	0.0135655393908004	0.00770240698700136	0.0161448505535452	0.0420045732146993	0.0218405422483884	0.0167567613285563	0.0315690774344748	0.00536139445104986	0.0114642278379415	0.00681033166616792	0.00345829888359375	0.00254056145981669	0.00971731093777712	0.00794421674879546	0.0133190292954505	0.019169882869135	0.0064520235602252	0.0162140351272452	0.0110296859261962	0.0112391014962905	0.0100304282289405	0.00348954237005709	0.00164050277713528	0.00249710371435278	0.369206380906346
4	VC	0.10088997435743	0.0786737741159636	0.0213358172325863	0.0560173890764212	0.0259867757468061	0.0167718213664514	0.00864101182914835	0.0262269862830689	0.029751469370921	0.0129585857270536	0.0103052490404724	0.0121286239750305	0.0391575703510984	0.0224586228779764	0.019579543952809	0.0314039178424315	0.00773565971782295	0.0146504090090039	0.00969076809221195	0.00328933902070233	0.00173506398435817	0.0135295600799137	0.00458087787527444	0.0248332617878137	0.0278089368077482	0.0359951079844401	0.0268014894658036	0.00563473724352439	0.00388715667352479	0.00564878661843597	0.00278475919872202	0.000876000483142148	0.0107673919191904	0.287463560892699
8	VC	0.0665817671529272	0.0461296633585346	0.0297596945126182	0.0181003961919894	0.0576964540858309	0.0730036503028475	0.0057944254172561	0.0127458409972531	0.0193377568509377	0.00841834412789283	0.0264706588246716	0.0386744890172766	0.0205940355436324	0.0267150526333908	0.0202255917500045	0.0195963201504507	0.00961561903582767	0.0129472795390614	0.007968168123046	0.00116035206813308	0.00355136953110449	0.00927815309136079	0.0155887934465035	0.0197745011984371	0.0112737281137917	0.00086823049192436	0.00604030775834883	0.00707607675155181	0.0159019351917791	0.0115877536091589	0.00217797496682686	0.00138127784076075	0.0030422309536057	0.370922107371264
10	VC	0.0137544458516836	0.0615722759421999	0.0411170553312597	0.0446773711559657	0.0601194510897289	0.0205920931355886	0.00734012001116684	0.0422135164096952	0.016608373341213	0.0371622604254145	0.00676698184522444	0.00682521523996491	0.0640145697970911	0.00189816199722806	0.0203656286482701	0.00559286745409594	0.00967470601738006	0.00919049152083263	0.00594267797063673	0.00200119470521228	0.00902084032357005	0.0222386202044408	0.0494629394737093	0.000101742059826652	0.00320153693132059	0.023335632958629	0.00154722608496674	0.00213606270464244	0.0372159348768918	0.0289769615527881	0.0127670294097091	0.0194121284969394	0.000851025202205126	0.312302861830509
13	VC	0.00672111430102676	0.0460628740753702	0.0348833449069272	0.0610165605816298	0.0887153999054081	0.00742672595578396	0.0732015388674304	0.0706966436752319	0.0356522017344378	0.0605775312666092	0.00981982393290551	0.0165909157004138	0.0372563517456215	0.00098840429817479	0.024816795068202	0.00103598884216176	0.0132607677890503	0.00189432083743996	0.00648556463775107	0.00109298857031184	0.00131428682409794	0.0112891069248648	0.000851817930507284	0.000783927873322129	0.00156468939374874	0.0116501088897698	0.0124131529037804	0.00132652871532434	0.000991865777428386	0.000328588249790783	0.00115633664522426	0.0278466403432285	0.00133353339997347	0.328953559437051
16	VC	0.0528241446572021	0.0350203927634727	0.0435442569271463	0.0373151361331292	0.10444340855536	0.03210786707746	0.0109934379906297	0.024860886226976	0.0250564003080289	0.0488445200565617	0.00886442106598714	0.0143573606074168	0.0634683675296568	0.00305566229872876	0.0232208374136004	0.0121337362001381	0.0115098443168069	0.00838099241883218	0.0147177933435959	0.00129416761702401	0.000515905281104348	0.00514775965583712	0.0205752239911885	0.00201431384388126	0.00520722075308049	0.00823672279459989	0.00853548734114883	0.00136668026003319	0.0287355767832366	0.00348723615038656	0.0351805046856032	0.00841974428184389	0.00138714707608548	0.295176843594217
17	VC	0.0836125322616563	0.0488645229871955	0.0156524125840402	0.0267545301468564	0.0527235944157922	0.0739912279072095	0.0162902599718004	0.0124493353254943	0.046789382094739	0.0147019732490174	0.028633777973436	0.0336110412492394	0.0189415297837855	0.0315163600471326	0.0182589217338214	0.0167894182680598	0.011627216613331	0.0141244280495793	0.00729160326965064	0.00114305506811398	0.00479486154517546	0.00412647729177274	0.0269815488484214	0.041589479128062	0.0189586853224163	0.00151818284710562	0.00371072150770053	0.00386216606299273	0.00802736140776703	0.00999341022574461	0.000241186026867444	0.00069951713259739	0.0316302977742718	0.270098981879154
18	VC	0.0380773849514031	0.0339149461350845	0.016515979711124	0.029121527271348	0.0599633893643614	0.0762515269153988	0.0901931730116896	0.0303835740681787	0.040614639793978	0.0217319709813665	0.0228464361275816	0.0244052009600948	0.0139268308662381	0.0570419497542883	0.040543467660959	0.0101766057974042	0.00915194171710826	0.0111672665510065	0.00506354768020644	0.00123934348396667	0.00186958178816545	0.0146927434923353	0.0168153086125243	0.016753486505115	0.00284939864197684	0.0067502388169328	0.00493944718250931	0.0121927619522266	0.00659160417377612	0.0143678313524498	0.00136068052842382	0.00798042989889619	0.0050701603419248	0.255435623909957
19	VC	0.0222293209579653	0.0371258427240135	0.0149747349378785	0.0214352806783972	0.0671785179691191	0.0895477717134901	0.0574462003168224	0.0284864881346057	0.0390337034326345	0.0565077772486421	0.0264713846916041	0.0199261284880647	0.0150903576562643	0.0774540692864784	0.0517090462695143	0.00286469784572348	0.00919184761513249	0.00898341571027181	0.00556719853032347	0.000453097857334883	0.00031585742527019	0.00897675494534375	0.0244454633824804	0.00625602136438382	0.00355616009934978	0.00908177322399543	0.00395082321548806	0.0025328928788513	0.00438546083230992	0.0145016050122631	0.00355806161125485	0.00510255782525067	0.00950315091548867	0.25215653520399
20	PC	0.0750714693641984	0.0585996816823473	0.044771190141397	0.0277367703258712	0.0250132690041035	0.0288041826544179	0.0712131841553507	0.0486866792340199	0.0290713852673515	0.0285834732092697	0.00964996646759728	0.0236884127228191	0.0024640767765511	0.00822077482150233	0.00754815979059276	0.00707155900925412	0.0223391541278831	0.0110469204858771	0.0217634883396031	0.0321325817129699	0.0180339119519846	0.0178310864937376	0.00789698929070037	0.000446919880097339	0.00912789100391097	0.010724020672644	0.0214613793272007	0.0161058775094023	0.0108184278413818	0.000513458171437806	0.00344135938631458	0.00123467485153938	0.000224793804824398	0.298662830521847
