ID	Sample	OM1_clade	Bacteria_unclassified	Anaerolineaceae	Caldilineaceae	Gammaproteobacteria_unclassified	BD2-11_terrestrial_group_unclassified	Unknown_Family	MSB-1E8	Bacillaceae	Nitrospiraceae	Rhodobiaceae	Rhodospirillaceae	Rhodothermaceae	Desulfobacteraceae	Ardenticatenia_unclassified	Desulfobulbaceae	S085_unclassified	Planctomycetaceae	Alphaproteobacteria_unclassified	Sva0071_unclassified	Rhodobacteraceae	Order_III_unclassified	Saprospiraceae	Thermomicrobia_unclassified	Sh765B-TzT-29_unclassified	Euzebyaceae	Actinobacteria_unclassified	Desulfuromonadales_unclassified	Flammeovirgaceae	TK10_unclassified	Rhodospirillales_unclassified	GR-WP33-58	Flavobacteriaceae	Gemmatimonadetes_unclassified	Ectothiorhodospiraceae	PAUC43f_marine_benthic_group_unclassified	Desulfuromonadaceae	Intrasporangiaceae	MB-A2-108_unclassified	Propionibacteriaceae	Ardenticatenaceae	Others
1	VC	0.102649150896468	0.130137451281704	0.0308874547184574	0.0295742315638516	0.0129126749533913	0.038850417018676	0.0153700731350572	0.0246327715708956	0.00548781085334449	0.0395074695003465	0.00484305268881383	0.0174093076325338	0.0218405422483884	0.0041827224034096	0.0167567613285563	0.00885237457340752	0.0315690774344748	0.0114642278379415	0.00681033166616792	0.00254056145981669	0.00971731093777712	0.00555195970890947	0.00329275359836263	0.00794421674879546	0.00319814820064343	0.0133190292954505	0.019169882869135	0.00265978032518751	0.0109324055199167	0.0112391014962905	0.00700174042778664	0.00107648166501346	0.0101894322205474	0.0100304282289405	0.00304346494140472	0.00472968610324757	0.00387371217226522	0.00134459430772842	0.0034738200735122	0.00166473580956852	0.0211293391214466	0.289139511462368
4	VC	0.0832010717980286	0.0513240305216948	0.0259867757468061	0.0167718213664514	0.0262269862830689	0.029751469370921	0.00690183881765857	0.0439193973391519	0.00802818442692423	0.0384528199087485	0.00361004791792396	0.0255282585504877	0.0224586228779764	0.0151409005175416	0.019579543952809	0.0248171439970258	0.0314039178424315	0.0146504090090039	0.00969076809221195	0.00173506398435817	0.0135295600799137	0.00368032493978483	0.00308666419295719	0.00458087787527444	0.00110809374545357	0.0248332617878137	0.0278089368077482	0.00520773391338716	0.0119173483672265	0.00388715667352479	0.00898566319220064	0.00116974925366633	0.00440677053762151	0.00564878661843597	0.0314057674998107	6.9243780122348e-05	0.00207853028943124	0.00129204247764151	0.0226491556525046	0.00673465327685479	0.000469833628233276	0.316270773089169
8	VC	0.0595392157807537	0.0967689992827682	0.0576964540858309	0.0730036503028475	0.0127458409972531	0.0193377568509377	0.00378420957621826	0.0194701539480722	0.0219315942212864	0.01845205660691	0.00804866508306233	0.0172963828963918	0.0267150526333908	0.00308929217872214	0.0202255917500045	0.00584132229769115	0.0195963201504507	0.0129472795390614	0.007968168123046	0.00355136953110449	0.00927815309136079	0.00310569280264214	0.000751415577565247	0.0155887934465035	0.00667304578928913	0.0197745011984371	0.0112737281137917	0.00283008990995135	0.0104497853039203	0.0159019351917791	0.00842881638205335	0.00105552247588641	0.00610394171903177	0.0115877536091589	0.000642392208181737	0.000301482664903155	0.00260762653166203	0.00152111547680285	0.00256326170470063	0.000993381535871249	0.0110203264135717	0.349537863017133
10	VC	0.01019730499122	0.0112248570138077	0.0601194510897289	0.0205920931355886	0.0422135164096952	0.016608373341213	0.014901208718386	0.0158615068595786	0.00606256968286175	0.0620425277960428	0.0177508342484449	0.0267464889553198	0.00189816199722806	0.011725979039018	0.0203656286482701	0.0284014444055993	0.00559286745409594	0.00919049152083263	0.00594267797063673	0.00902084032357005	0.0222386202044408	0.00211400303944401	0.00176377948617067	0.0494629394737093	0.0134169190632963	0.000101742059826652	0.00320153693132059	0.0308609012690787	0.0233823562398653	0.0372159348768918	0.0171448131091983	0.000921467353623785	0.00212160998388974	0.0289769615527881	0.0214625539325798	0.0067033969956006	0.00286139427603079	0.0126056018106221	0.00345500361781157	7.76753978724799e-05	1.6578017869831e-05	0.32343538770693
13	VC	0.00220471914214465	0.0159027645681123	0.0887153999054081	0.00742672595578396	0.0706966436752319	0.0356522017344378	0.0444190477752177	0.00144126680580298	0.00861755677071883	0.0370350906721757	0.00133109080986337	0.0328620238198012	0.00098840429817479	0.0295724849933807	0.024816795068202	0.0313067360691476	0.00103598884216176	0.00189432083743996	0.00648556463775107	0.00131428682409794	0.0112891069248648	0.057868704658038	0.000731632895903604	0.000851817930507284	0.00146041731263746	0.000783927873322129	0.00156468939374874	0.0499287044201761	0.00246407139538895	0.000991865777428386	0.0105166257820763	0.00382869346533368	0.000693900945608607	0.000328588249790783	0.00310254262690848	0.00201479891136396	0.0062395622711716	0.000840792079094045	0.000279714188644317	4.45797685720115e-05	1.59515744427149e-05	0.400440198349924
16	VC	0.0469343325884725	0.013725431122036	0.10444340855536	0.03210786707746	0.024860886226976	0.0250564003080289	0.0129436222310226	0.0225979860352229	0.00702830701138858	0.0627936729192479	0.0188945031580732	0.00790326153551816	0.00305566229872876	0.00823429303041711	0.0232208374136004	0.0232218381003504	0.0121337362001381	0.00838099241883218	0.0147177933435959	0.000515905281104348	0.00514775965583712	0.00512715767921908	0.00103165681959841	0.0205752239911885	0.0114726717429831	0.00201431384388126	0.00520722075308049	0.0393574179924479	0.00561663260291829	0.0287355767832366	0.00223540242349023	0.000359134410002131	0.00106456218025779	0.00348723615038656	0.0071666282938042	0.00483261892518659	0.0055581984571775	0.0347628365934454	0.0249102047354109	0.000289154833032355	1.59236705869968e-05	0.318261730607254
17	VC	0.0593138035522432	0.0768016535511813	0.0527235944157922	0.0739912279072095	0.0124493353254943	0.046789382094739	0.00647969917392031	0.0337598322425917	0.0225151278486478	0.0179481921301925	0.00517775736267287	0.00860426447217308	0.0315163600471326	0.00733062526640964	0.0182589217338214	0.00908540383836791	0.0167894182680598	0.0141244280495793	0.00729160326965064	0.00479486154517546	0.00412647729177274	0.0107249597081452	0.00074561364341813	0.0269815488484214	0.00514786881875769	0.041589479128062	0.0189586853224163	0.00238581753554558	0.00864863388552946	0.00802736140776703	0.0063912265903335	0.00141281369717656	0.00353991838056295	0.00999341022574461	0.000718774571189364	8.27477132463573e-05	0.00616914963810348	0.000156842787409411	0.00196053484261763	0.0282320373804012	0.00117632090557058	0.287084285582754
18	VC	0.0319265835442455	0.0426621817014754	0.0599633893643614	0.0762515269153988	0.0303835740681787	0.040614639793978	0.0722632114094216	0.0138600954192049	0.0193778740094813	0.0127302358713394	0.00504857360001682	0.0133277601931344	0.0570419497542883	0.0106495290719154	0.040543467660959	0.0140164656783733	0.0101766057974042	0.0111672665510065	0.00506354768020644	0.00186958178816545	0.0146927434923353	0.0173902550575562	0.000760375673517455	0.0168153086125243	0.00331626105124302	0.016753486505115	0.00284939864197684	0.00592738874627583	0.00757230511791838	0.00659160417377612	0.00562045576030718	0.0073638662102443	0.0111746083487297	0.0143678313524498	0.00604898405423013	0.000284666132613678	0.00692765523362426	0.00119659499489874	0.000805039745647465	0.0011654819375184	0.000314893419710194	0.283122735865233
19	VC	0.0173959045896198	0.0355818091140268	0.0671785179691191	0.0895477717134901	0.0284864881346057	0.0390337034326345	0.0479662000405551	0.0118327200644178	0.0236312832542596	0.0134837693272185	0.0057786279984059	0.0200735898235859	0.0774540692864784	0.00884648263143924	0.0517090462695143	0.009472604397892	0.00286469784572348	0.00898341571027181	0.00556719853032347	0.00031585742527019	0.00897675494534375	0.0087763849737038	0.000172544694032988	0.0244454633824804	0.0024575662424862	0.00625602136438382	0.00355616009934978	0.0180205793300824	0.00784631108353981	0.00438546083230992	0.00470257665289242	0.00406043996896507	0.000708808088854784	0.0145016050122631	0.00787118869193362	0.000135845400302047	0.03325979668429	0.00341827304052312	0.00139553938058969	0.000137082784455316	0.000102548191215694	0.279609291597151
20	PC	0.0565159223756866	0.0279480660853564	0.0250132690041035	0.0288041826544179	0.0486866792340199	0.0290713852673515	0.054531361253394	0.00357390343770128	0.00835863506572227	0.00245683015788169	0.0133411812466298	0.0305122867325824	0.00822077482150233	0.0178106677743031	0.00754815979059276	0.00853519939921326	0.00707155900925412	0.0110469204858771	0.0217634883396031	0.0180339119519846	0.0178310864937376	0.0249382661573788	0.0291781625292984	0.00789698929070037	0.0173580826474452	0.000446919880097339	0.00912789100391097	0.0028274535305102	0.0117682455730325	0.0108184278413818	0.0236745590735975	0.0227620238972724	0.01130394099139	0.000513458171437806	0.00721196279745338	0.0115406653309923	0.00114650776338225	0.00132022106086441	3.99091014844864e-05	0.00020887449271672	2.03823075629276e-05	0.359221585977175
