ID	Sample	OM1_clade_unclassified	Bacteria_unclassified	Anaerolineaceae_unclassified	Caldilineaceae_unclassified	Gammaproteobacteria_unclassified	BD2-11_terrestrial_group_unclassified	MSB-1E8_unclassified	Rhodothermaceae_unclassified	Methyloceanibacter	Ardenticatenia_unclassified	Nitrospiraceae_unclassified	S085_unclassified	Fodinibius	Alphaproteobacteria_unclassified	Sva0071_unclassified	Order_III_unclassified	Thermomicrobia_unclassified	Sh765B-TzT-29_unclassified	Euzebya	Rhodobacteraceae_unclassified	Actinobacteria_unclassified	Desulfuromonadales_unclassified	Bacillus	TK10_unclassified	Rhodospirillales_unclassified	Desulfobulbus	Saprospiraceae_unclassified	GR-WP33-58_unclassified	Gemmatimonadetes_unclassified	Candidatus_Entotheonella	Chloroflexi_unclassified	Bacillaceae_unclassified	Sva0081_sediment_group	PAUC43f_marine_benthic_group_unclassified	Halomonas	Intrasporangiaceae_unclassified	Ignavibacterium	MB-A2-108_unclassified	Cytophagales_unclassified	Desulfuromonadaceae_unclassified	MSBL7	Iamia	Streptomyces	Propionibacteriaceae_unclassified	RCP1-48_unclassified	Ardenticatena	Thermodesulfovibrio	Others
1	VC	0.102649150896468	0.130137451281704	0.0308209039806642	0.0295422174136676	0.0129126749533913	0.038850417018676	0.0246327715708956	0.0218085280982044	0.00438593857520938	0.0167567613285563	0.0365146181479868	0.0315690774344748	0.00238535516755684	0.00681033166616792	0.00254056145981669	0.00555195970890947	0.00794421674879546	0.00319814820064343	0.0133190292954505	0.00622502679834733	0.019169882869135	0.00265978032518751	0.00215385679183465	0.0112391014962905	0.00700174042778664	0.00169837539278612	0.00125940208043274	0.00107648166501346	0.0100304282289405	0.0120474361309902	0.010093655104157	0.00275568612146802	8.657517417663e-05	0.00472968610324757	0.00103390778379536	0.00134459430772842	0.00128499529193623	0.0034738200735122	0.00618487598049102	0.00198487731140862	0.00304295293591593	0.00198524317492153	0.00204890561177664	0.0016007075092005	0.00022409905128807	0.0211293391214466	1.51483697357324e-05	0.34008930581981
4	VC	0.0832010717980286	0.0513240305216948	0.0257099859541654	0.0167690689440703	0.0262269862830689	0.029751469370921	0.0439193973391519	0.0224571482173534	0.00270154336234134	0.019579543952809	0.0350651858795188	0.0314039178424315	0.00217744697363904	0.00969076809221195	0.00173506398435817	0.00368032493978483	0.00458087787527444	0.00110809374545357	0.0248332617878137	0.00804542287897018	0.0278089368077482	0.00520773391338716	0.00389837416031286	0.00388715667352479	0.00898566319220064	0.0109019679353603	0.00146207024807537	0.00116974925366633	0.00564878661843597	0.0158635805500899	0.00396654637440113	0.00357814982289114	0.00137149372156612	6.9243780122348e-05	0.00431700443070816	0.00129204247764151	0.000678105633391073	0.0226491556525046	0.00384362499862265	0.000978820058819325	0.00481752946445448	0.0109631792030374	0.000665597639997141	0.00673428200467695	1.99435931877346e-05	0.000469833628233276	1.63358797234981e-05	0.404774482540159
8	VC	0.0595392157807537	0.0967689992827682	0.0575384944309899	0.0723827868429279	0.0127458409972531	0.0193377568509377	0.0194701539480722	0.0267135651713254	0.00779183642199011	0.0202255917500045	0.0151104112334653	0.0195963201504507	0.00171495979775477	0.007968168123046	0.00355136953110449	0.00310569280264214	0.0155887934465035	0.00667304578928913	0.0197745011984371	0.00551897793611477	0.0112737281137917	0.00283008990995135	0.0108436538442247	0.0159019351917791	0.00842881638205335	0.00227726493698708	0.000295724786782956	0.00105552247588641	0.0115877536091589	0.00916873937923396	0.0186642417642026	0.00766989759370475	0.000162268106073652	0.000301482664903155	0.000500802875762268	0.00152111547680285	0.000660843252710398	0.00256326170470063	0.00236531335655951	0.00217302210971836	0.00217697640732803	0.0031674357684951	0.00474960546838441	0.000931295189879296	2.01167223512285e-05	0.0110203264135717	1.64776905378706e-05	0.376555807318634
10	VC	0.01019730499122	0.0112248570138077	0.0589207588930133	0.0192000634877899	0.0422135164096952	0.016608373341213	0.0158615068595786	0.00189680988892863	0.0173230356170513	0.0203656286482701	0.0572806532144335	0.00559286745409594	0.00448402725926742	0.00594267797063673	0.00902084032357005	0.00211400303944401	0.0494629394737093	0.0134169190632963	0.000101742059826652	0.0205707795626481	0.00320153693132059	0.0308609012690787	0.00226863771347643	0.0372159348768918	0.0171448131091983	0.0192914532783257	0.000740609163503138	0.000921467353623785	0.0289769615527881	0.00454900022391213	0.00983921096245542	0.00301859153356031	0.00276499520451753	0.0067033969956006	5.04790058887902e-05	0.0126056018106221	0.0182513589189552	0.00345500361781157	0.00252623135008722	0.00243605188364784	0.00592152868772325	0.000696953027285518	0.000773349804332647	7.73349804332647e-05	0.0226204817767299	1.6578017869831e-05	0.0023973843934312	0.378874847985433
13	VC	0.00220471914214465	0.0159027645681123	0.0846884483686945	0.0074242976385224	0.0706966436752319	0.0356522017344378	0.00144126680580298	0.000987103282796333	0.00110630536722901	0.024816795068202	0.0137086184045793	0.00103598884216176	0.0132546483510222	0.00648556463775107	0.00131428682409794	0.057868704658038	0.000851817930507284	0.00146041731263746	0.000783927873322129	0.00455548503724857	0.00156468939374874	0.0499287044201761	0.00321064040735892	0.000991865777428386	0.0105166257820763	0.00340747552848056	0.000226867425408793	0.00382869346533368	0.000328588249790783	0.000136427834936793	0.00763332146549719	0.00425406524770216	0.000604936887978333	0.00201479891136396	0.000321130689724336	0.000840792079094045	0.0203206173424599	0.000279714188644317	0.021254013345352	0.00349592496044366	0.022617041156459	0.00292154892042102	0.000310704484242678	4.42522146891603e-05	0.000309765502824122	1.59515744427149e-05	0.0230996560677417	0.469281181153641
16	VC	0.0469343325884725	0.013725431122036	0.103190404278887	0.0300516549314521	0.024860886226976	0.0250564003080289	0.0225979860352229	0.00305436355919746	0.0178312147036619	0.0232208374136004	0.0571041462244376	0.0121337362001381	0.00482982144221288	0.0147177933435959	0.000515905281104348	0.00512715767921908	0.0205752239911885	0.0114726717429831	0.00201431384388126	0.00350557324468021	0.00520722075308049	0.0393574179924479	0.00297238488960977	0.0287355767832366	0.00223540242349023	0.0141750039312676	0.000114868235151703	0.000359134410002131	0.00348723615038656	0.00585809491299283	0.01238055930987	0.00206205454561743	0.0013283887502893	0.00483261892518659	7.56019355078472e-05	0.0347628365934454	0.0072934190112461	0.0249102047354109	0.0020027235756021	0.00340560136682552	0.00395470539728884	0.00340650253859296	0.00192769888688237	0.000257026518250983	0.0044979640693922	1.59236705869968e-05	0.000481924721720592	0.347382050805642
17	VC	0.0593138035522432	0.0768016535511813	0.0525642924670727	0.073938946978073	0.0124493353254943	0.046789382094739	0.0337598322425917	0.031515026887763	0.00504510966166937	0.0182589217338214	0.0161248258615941	0.0167894182680598	0.003177300036419	0.00729160326965064	0.00479486154517546	0.0107249597081452	0.0269815488484214	0.00514786881875769	0.041589479128062	0.00356923523358335	0.0189586853224163	0.00238581753554558	0.0113525307542463	0.00802736140776703	0.0063912265903335	0.0016170295423508	0.000414166934059674	0.00141281369717656	0.00999341022574461	0.0102600796483742	0.0109861881745041	0.00758073472478818	0.000321982018261613	8.27477132463573e-05	0.00052919777891388	0.000156842787409411	0.000223215385095351	0.00196053484261763	0.0016550569296349	0.00575090220501172	0.00645917409251349	0.0208604474111663	0.000862635330751758	0.0282317017336939	1.802990308843e-05	0.00117632090557058	1.47683682426925e-05	0.295688992824957
18	VC	0.0319265835442455	0.0426621817014754	0.0583558455931036	0.0758106761278046	0.0303835740681787	0.040614639793978	0.0138600954192049	0.0570404551847997	0.004880848005508	0.040543467660959	0.00818648053271516	0.0101766057974042	0.0621946286435319	0.00506354768020644	0.00186958178816545	0.0173902550575562	0.0168153086125243	0.00331626105124302	0.016753486505115	0.0132084675928058	0.00284939864197684	0.00592738874627583	0.0098638133657966	0.00659160417377612	0.00562045576030718	0.00844829609993852	0.000236317497135986	0.0073638662102443	0.0143678313524498	0.00436106449514628	0.0145827776304078	0.00711951779449913	0.000733608019776896	0.000284666132613678	0.000766078034076711	0.00119659499489874	0.00567523554643424	0.000805039745647465	0.00274758058028309	0.00639233642011693	0.00466218080735177	0.00261401525445648	0.000598297497449368	0.00116510565292772	6.29786839420387e-05	0.000314893419710194	6.29786839420387e-05	0.333533088397894
19	VC	0.0173959045896198	0.0355818091140268	0.0658428135123418	0.0893768580614639	0.0284864881346057	0.0390337034326345	0.0118327200644178	0.0774526717180702	0.00557178505605269	0.0517090462695143	0.0106542189740057	0.00286469784572348	0.0346571204460897	0.00556719853032347	0.00031585742527019	0.0087763849737038	0.0244454633824804	0.0024575662424862	0.00625602136438382	0.00825238853737062	0.00355616009934978	0.0180205793300824	0.0134077884078593	0.00438546083230992	0.00470257665289242	0.0059614460061658	8.33405950072608e-05	0.00406043996896507	0.0145016050122631	0.00226162538893516	0.0140589501479362	0.0059835712205245	0.000687663599889981	0.000135845400302047	0.00014314001850377	0.00341827304052312	0.00318568360842753	0.00139553938058969	0.00172312765415876	0.0306619091734924	0.00280574417150447	0.0019152026500227	0.000717837338509855	0.000136730921620925	3.41827304052312e-05	0.000102548191215694	1.54818736358933e-05	0.335406828910322
20	PC	0.0565159223756866	0.0279480660853564	0.0250066845686792	0.0288010798441303	0.0486866792340199	0.0290713852673515	0.00357390343770128	0.0081860321620059	0.0111176510388582	0.00754815979059276	0.00193803580821525	0.00707155900925412	0.0262155551634319	0.0217634883396031	0.0180339119519846	0.0249382661573788	0.00789698929070037	0.0173580826474452	0.000446919880097339	0.0146563804606519	0.00912789100391097	0.0028274535305102	0.00328272067998481	0.0108184278413818	0.0236745590735975	0.00488962572369134	0.0218000568481845	0.0227620238972724	0.000513458171437806	0.00100873389789414	0.00251890634851844	0.00170510489500046	0.00396530977510766	0.0115406653309923	0.0146296874847755	0.00132022106086441	0.000776863744374733	3.99091014844864e-05	0.00265011000593354	0.000660110530432205	0.00136916529032012	0.000688225485299293	0.000138970637985727	0.000208455956978591	0.00677481860180421	2.03823075629276e-05	1.84154641425408e-05	0.463494974797413
